Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
0,EP Shaffer,What Rain Brings to the Volcano,2008,Tampa Review,search.proquest.com,http://search.proquest.com/openview/92e95bdda583e6cde583c9fa98627e1f/1?pq-origsite=gscholar&cbl=45033,,0,0,0,1,12,"Mark Putnam is an associate professor of English at the University of Tampa. Translating Montesinos's poetry is a project that he, and his spouse and colleague Lola Hidalgo-Calle, have prized and shared for many years. Ultimo Cuerpo de Campanas marks the first book of …"
0,EHPM Shaffer,Ultrafiltration of Colloidal Electrolyte Solutions,,degruyter.com,,https://www.degruyter.com/view/j/zpch.1962.31.issue-5-6/zpch.1962.31.5_6.397/zpch.1962.31.5_6.397.xml,,0,0,0,1,,*Prices in US$ apply to orders placed in the Americas only. Prices in GBP apply to orders placed in Great Britain only. Prices in € represent the retail prices valid in Germany (unless otherwise indicated). Prices are subject to change without notice. Prices do not include postage and handling …
0,"S Whitmore, RA Aydt, L de Rose, DA Reed…",An Approach to Immersive Performance Visualization of Parallel and Wide-Area Distributed Applications,1999,High-Performance …,computer.org,https://www.computer.org/csdl/proceedings-article/hpdc/1999/02870040/12OmNx76TWQ,,0,0,0,5,21,"Complex, distributed applications pose new challenges for performance analysis and optimization. This paper outlines an online approach to performance analysis where developers are active participants, using integrated measurement and immersive …"
0,"E Shaffer, R Aydt, S Whitmore, B Schaeffer","Pablo Research Group Department of Computer Science University of Illinois Urbana, Illinois 61801",1999,,,,,0,0,0,4,21,
0,"T Xia, E Shaffer",Streaming Mesh Optimization for CAD,2008,International Symposium on Visual Computing,Springer,https://link.springer.com/chapter/10.1007/978-3-540-89646-3_102,,0,0,0,2,12,"Computational simulation of physical phenomena plays a central role in many important applications, including scientific visualization and the generation visual effects for entertainment. Typically, these simulations rely on high-quality meshes to model physical …"
0,"S Whitmore, E Shaffer, R Aydt",Multimedia Toolbox Guide,1998,,researchgate.net,https://www.researchgate.net/profile/Eric_Shaffer/publication/2806079_Multimedia_Toolbox_Guide/links/0fcfd50f61a1a99077000000/Multimedia-Toolbox-Guide.pdf,,0,0,0,3,22,The Multimedia Toolbox (MMTB) is a set of software tools that provide real-time audio and video conferencing as well as the ability to record and replay voice and video transcripts. The asynchronous nature of distributed collaboration mandates the ability to annotate …
0,"R Reizner, E Shaffer, B Birman",Mining for Hydrologic Features in LiDAR Data,2013,Proceedings of the …,search.proquest.com,http://search.proquest.com/openview/57643b9f84b4a1b441a97a06862a76b5/1?pq-origsite=gscholar&cbl=1976357,,0,0,0,3,7,"Abstract Light Detection and Ranging (LiDAR) can generate 3D point data of terrains with high resolution and accuracy, enabling automated detection of an important hydrologic features. This paper describes a method for detecting sinkholes in LiDAR data. Current …"
0,"E Shaffer, R Aydt, S Whitmore, B Schaeffer",Virtue,,,,,,0,0,0,4,,
0,"C Peiper, M Twidale, B Capitanu, S Kamin, E Shaffer",Exploring the design space of in-class activity visualizations,,pdfs.semanticscholar.org,,https://pdfs.semanticscholar.org/9f38/72666a81b52e86dab4f9244eb8bf72660476.pdf,,0,0,0,5,,"Networked tablet PCs have great potential in classroom settings, including use in small group in-class problem-solving activities. It is possible to obtain substantial amounts of data about student activity during a lesson: what they referred to, notes taken and erased, bursts …"
0,E Shaffer,Walking Zone,2016,,CENT STUDIES AUSTRALIAN LIT …,,,0,0,0,1,4,
0,"E Shaffer, DA Reed, S Whitmore, B Schaeffer",CALTECH ASCI TECHNICAL REPORT 081,,Citeseer,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.220&rep=rep1&type=pdf,,0,0,0,4,,"High-speed, wide-area networks have made it both possible and desirable to interconnect distributed collections of scientific data archives, remote scientific instruments (eg, radio telescopes), and highperformance computer systems. As a motivating example, consider a …"
0,E Shaffer,Streamside,2013,,CENT STUDIES AUSTRALIAN LIT …,,,0,0,0,1,7,
0,"R Ilie, E Shaffer, CM D'Angelo",Learning by Immersion: Developing Virtual Reality Labs for Electricity and Magnetism Courses,2019,AGUFM,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2019AGUFMED42A..04I/abstract,,0,0,0,3,1,"Abstract When James Clerk Maxwell first published his theory of electromagnetism in 1865, physicists found it difficult to grasp because the equations were complicated, while mathematicians found it hard to understand because they were described in physical terms …"
0,KE Shaffer,Tire health monitoring system,2017,"US Patent App. 15/270,317",Google Patents,https://patents.google.com/patent/US20170010185A1/en,,0,0,0,1,3,A health monitoring system for a tire is provided. The health monitoring system includes a fiber optic strain sensor array. The fiber optic strain sensor array is configured to generate data indicative of a strain in the tire. The fiber optic strain sensor array is arranged and …
0,"PC Spengler, KE Shaffer",Programmable device,2016,"US Patent App. 15/181,603",Google Patents,https://patents.google.com/patent/US20160292934A1/en,,0,0,0,2,4,A programmable device for connection to an on-board diagnostic port on a machine is provided. The programmable device includes a plurality of input interfaces. Each of the plurality of input interfaces is adapted to connect with a corresponding pin configuration of …
0,"KE Shaffer, PC Spengler",IoT Service Meter Unit Transmitter,2018,"US Patent App. 15/467,156",Google Patents,https://patents.google.com/patent/US20180276904A1/en,,0,0,0,2,2,"A method for servicing an apparatus based on the time of operation of the apparatus, wherein the apparatus includes a controller BUS and a diagnostic port in communication with the BUS, comprises plugging a service meter unit into the diagnostic port and sending a …"
0,"A Saijo, S Hyner, EP Shaffer",Unverblümt: eine Rhapsodie,2002,,Stadtlichter Presse,,,0,0,0,3,18,
