Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
2,"E Shaffer, Z Cheng, R Yeh, G Zagaris, L Olson",Efficient GPU-based Optimization of Volume Meshes.,2013,PARCO,researchgate.net,https://www.researchgate.net/profile/Luke_Olson/publication/282675717_Efficient_GPU-based_optimization_of_volume_meshes/links/563a1a6c08ae337ef2983968/Efficient-GPU-based-optimization-of-volume-meshes.pdf,"https://scholar.google.com/scholar?cites=5799790697994314650&as_sdt=2005&sciodt=0,5&hl=en",2,0.29,0,5,7,We describe a GPU-based algorithmic framework for optimizing the shape of elements in a simplicial volume. Optimization is done on a per-vertex basis using only local neighborhood information in order to exploit the massive fine-grained parallelism on modern GPU …
2,"E Shaffer, Z Cheng, R Yeh, G Zagaris…",Simple and effective GPU-based mesh optimization,2014,… Science and Engineering …,imr.sandia.gov,https://imr.sandia.gov/papers/imr20/RNShaffer.pdf,"https://scholar.google.com/scholar?cites=9024367752271766192&as_sdt=2005&sciodt=0,5&hl=en",2,0.33,0,5,6,"We present a GPU-based algorithm for optimizing the shape of elements in tetrahedral volume meshes. To exploit the massive parallelism available in modern GPU hardware, optimization occurs on a per-vertex basis using only local neighborhood information. A …"
2,E Shaffer,Library Science and Usability Engineering,2001,Paper presented November,,,"https://scholar.google.com/scholar?cites=11929836536664542370&as_sdt=2005&sciodt=0,5&hl=en",2,0.11,2,1,19,
2,BMLRE Shaffer,Gregory “Does Legal Capacity Matter,2008,Explaining Patterns of Protectionism in the Shadow of …,,,"https://scholar.google.com/scholar?cites=14314093081650395479&as_sdt=2005&sciodt=0,5&hl=en",2,0.17,2,1,12,
1,EJ Shaffer,Granular fertilizer dispenser apparatus,2016,"US Patent 9,363,944",Google Patents,https://patents.google.com/patent/US9363944B2/en,"https://scholar.google.com/scholar?cites=3297300866702411857&as_sdt=2005&sciodt=0,5&hl=en",1,0.25,1,1,4,"The fertilizer dispenser is used on a surface area to be treated. The fertilizer dispenser comprises a main body for storing the fertilizer, a rolling mechanism affixed to the main body, and a control mechanism cooperatively engaged with the main body. Tines extending …"
1,EP Shaffer,"Living at the Monastery, Working in the Kitchen: Poems",2001,,books.google.com,https://books.google.com/books?hl=en&lr=&id=i6mFLPf6DD8C&oi=fnd&pg=PR5&dq=%22eric+shaffer%22&ots=CqCed6XyYU&sig=Tsx80VAXTKD0ZW4OCWRB6e9EnG0,"https://scholar.google.com/scholar?cites=3016445233500880256&as_sdt=2005&sciodt=0,5&hl=en",1,0.05,1,1,19,"Poetry."" How wonderful to discover these lost works in the last leavings of the Twentieth Century. May their author continue to sweep the kitchens, the courtyards, the shrine halls of his always surprising mind. May we continue to share such delightful detritus. And may it …"
1,"TL Noerenberg, DJ Prusak…",Duluth Pump Station/Storage Basin Meets SSO Challenge,2006,… of the Water …,Water Environment Federation,,"https://scholar.google.com/scholar?cites=1600284415483108293&as_sdt=2005&sciodt=0,5&hl=en",1,0.07,0,3,14,
1,EP Shaffer,All come to this: the life and works of Lew Welch in the context of the twentieth century.,1992,,elibrary.ru,https://elibrary.ru/item.asp?id=5838697,"https://scholar.google.com/scholar?cites=17105626631827970594&as_sdt=2005&sciodt=0,5&hl=en",1,0.04,1,1,28,"Degree: Ph. D. DegreeYear: 1991 Institute: University of California, Davis This dissertation examines the works of Welch in the context of contemporary events and thought. The poems are contextualized in order to indicate the source and continuity of his poetry and poetics …"
1,GE Shaffer,Critical duration of grass weed interference in grain sorghum,2016,,krex.k-state.edu,http://krex.k-state.edu/dspace/handle/2097/32615,"https://scholar.google.com/scholar?cites=4060482199565442129&as_sdt=2005&sciodt=0,5&hl=en",1,0.25,1,1,4,The availability of ALS-inhibitor herbicide-resistant grain sorghum hybrids will provide an opportunity to control grass weeds post-emergence with the ALS-inhibiting herbicide nicosulfuron (Zest [superscript] TM). More information on impact of grass weeds on sorghum …
1,"J Miklós-Thal, GE Shaffer",Naked Exclusion with Private Offers,2014,,Simon Graduate School of Business …,,"https://scholar.google.com/scholar?cites=13992399847429959691&as_sdt=2005&sciodt=0,5&hl=en",1,0.17,1,2,6,
