Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
365,"K Lorincz, B Chen, GW Challen, AR Chowdhury…","Mercury: a wearable sensor network platform for high-fidelity motion analysis.",2009,"SenSys","researchgate.net","https://www.researchgate.net/profile/Shyamal_Patel2/publication/221091303_Mercury_A_Wearable_Sensor_Network_Platform_for_High-Fidelity_Motion_Analysis/links/09e41507e0adbb5bc3000000.pdf","https://scholar.google.com/scholar?cites=16489627081574208413&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-04 02:57:02","PDF","","","",,,,,365,33.18,73,5,11,"This paper describes Mercury, a wearable, wireless sensor platform for motion analysis of patients being treated for neuromotor disorders, such as Parkinson's Disease, epilepsy, and stroke. In contrast to previous systems intended for short-term use in a laboratory, Mercury is …"
77,"GW Challen, J Waterman, M Welsh","IDEA: Integrated distributed energy awareness for wireless sensor networks",2010,"Proceedings of the 8th international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1814433.1814439","https://scholar.google.com/scholar?cites=17473087528761209973&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-04 02:57:02","","","","",,,,,77,7.70,26,3,10,"Energy in sensor networks is a distributed, non-transferable resource. Over time, differences in energy availability are likely to arise. Protocols like routing trees may concentrate energy usage at certain nodes. Differences in energy harvesting arising from environmental …"
23,"J Waterman, GW Challen, M Welsh","Peloton: Coordinated Resource Management for Sensor Networks.",2009,"HotOS","usenix.org","https://www.usenix.org/legacy/event/hotos09/tech/full_papers/waterman/waterman.pdf","https://scholar.google.com/scholar?cites=10791071192831540529&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-04 02:57:02","PDF","","","",,,,,23,2.09,8,3,11,"This paper makes the case that operating system designs for sensor networks should focus on the coordination of resource management decisions across the network, rather than merely on individual nodes. We motivate this view by describing the challenges inherent to …"
8,"GW Challen, J Waterman, M Welsh","Integrated distributed energy awareness for wireless sensor networks",2009,"… of the 7th ACM Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1644038.1644112","https://scholar.google.com/scholar?cites=14758474559105483265&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-04 02:57:02","","","","",,,,,8,0.73,3,3,11,"Energy in sensor networks is distributed and non-transferable. Over time, differences in energy availability across the network are likely to arise. Protocols such as routing engines can concentrate energy load at certain nodes. Variations in incident sunlight can produce …"
4,"GW Challen, M Welsh","Data fidelity and resource management for data-rich sensor networks",2010,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.461.256&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=8076729025399066987&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-04 02:57:02","BOOK","","","",,,,,4,0.40,2,2,10,"This dissertation presents architectural solutions that improve the performance of scientific sensor networks. Wireless sensor networks composed of tens or hundreds of low-power, resource-constrained devices, can aid scientific exploration by collecting data at scales …"
0,"GW Challen, J Johnson, M Ruiz, J Lees…","Monitoring volcanic eruptions with a wireless sensor network",2005,"… Networks, EWSN 2005","experts.illinois.edu","https://experts.illinois.edu/en/publications/monitoring-volcanic-eruptions-with-a-wireless-sensor-network","",6,"2020-05-04 02:57:02","","","","",,,,,0,0.00,0,5,15,"This paper describes our experiences using a wireless sensor network to monitor volcanic eruptions with low-frequency acoustic sensors. We developed a wireless sensor array and deployed it in July 2004 at Volcán Tungurahua, an active volcano in central Ecuador. The …"
0,"P Bonnet, GW Challen","Shattering the Hourglass: Towards Pervasive Sensor Networks",,"","","","",7,"2020-05-04 02:57:02","CITATION","","","",,,,,0,0.00,0,2,,""
